count [L.N(Gp)+L.N(Gn) = 3] : , 23842
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 1286
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 8725
count [L.N(Gp)+L.N(Gn) = 5] : , 122
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 5
0.240814
count [L.N(Gp)+L.N(Gn) = 2] : , 7458
count [L.N(Gp)+L.N(Gn) = 3] : , 23512
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 1518
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 8382
count [L.N(Gp)+L.N(Gn) = 5] : , 130
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 6
0.252248
count [L.N(Gp)+L.N(Gn) = 2] : , 7825
count [L.N(Gp)+L.N(Gn) = 3] : , 23196
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 1796
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 8019
count [L.N(Gp)+L.N(Gn) = 5] : , 164
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 7
0.268523
count [L.N(Gp)+L.N(Gn) = 2] : , 8408
count [L.N(Gp)+L.N(Gn) = 3] : , 22904
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 1919
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 7555
count [L.N(Gp)+L.N(Gn) = 5] : , 214
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 8
0.286249
count [L.N(Gp)+L.N(Gn) = 2] : , 9022
count [L.N(Gp)+L.N(Gn) = 3] : , 22496
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 2048
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 7253
count [L.N(Gp)+L.N(Gn) = 5] : , 181
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 9
0.309782
count [L.N(Gp)+L.N(Gn) = 2] : , 9817
count [L.N(Gp)+L.N(Gn) = 3] : , 21873
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 2254
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 6890
count [L.N(Gp)+L.N(Gn) = 5] : , 166
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 1
0.302372
count [L.N(Gp)+L.N(Gn) = 2] : , 10033
count [L.N(Gp)+L.N(Gn) = 3] : , 23148
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 234
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 7571
count [L.N(Gp)+L.N(Gn) = 5] : , 14
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 2
0.36897
count [L.N(Gp)+L.N(Gn) = 2] : , 12604
count [L.N(Gp)+L.N(Gn) = 3] : , 21556
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 356
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 6466
count [L.N(Gp)+L.N(Gn) = 5] : , 18
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 3
0.421612
count [L.N(Gp)+L.N(Gn) = 2] : , 14565
count [L.N(Gp)+L.N(Gn) = 3] : , 19981
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 525
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 5910
count [L.N(Gp)+L.N(Gn) = 5] : , 19
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 4
0.447623
count [L.N(Gp)+L.N(Gn) = 2] : , 15665
count [L.N(Gp)+L.N(Gn) = 3] : , 19331
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 545
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 5442
count [L.N(Gp)+L.N(Gn) = 5] : , 17
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 5
0.480529
count [L.N(Gp)+L.N(Gn) = 2] : , 16967
count [L.N(Gp)+L.N(Gn) = 3] : , 18342
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 614
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 5062
count [L.N(Gp)+L.N(Gn) = 5] : , 15
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 6
0.498563
count [L.N(Gp)+L.N(Gn) = 2] : , 17697
count [L.N(Gp)+L.N(Gn) = 3] : , 17799
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 651
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 4835
count [L.N(Gp)+L.N(Gn) = 5] : , 18
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 7
0.514535
count [L.N(Gp)+L.N(Gn) = 2] : , 18302
count [L.N(Gp)+L.N(Gn) = 3] : , 17268
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 675
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 4736
count [L.N(Gp)+L.N(Gn) = 5] : , 19
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 8
0.522921
count [L.N(Gp)+L.N(Gn) = 2] : , 18616
count [L.N(Gp)+L.N(Gn) = 3] : , 16984
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 710
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 4671
count [L.N(Gp)+L.N(Gn) = 5] : , 19
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 1
0.146453
count [L.N(Gp)+L.N(Gn) = 2] : , 3159
count [L.N(Gp)+L.N(Gn) = 3] : , 18411
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 1531
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 17826
count [L.N(Gp)+L.N(Gn) = 5] : , 73
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 2
0.0983965
count [L.N(Gp)+L.N(Gn) = 2] : , 1847
count [L.N(Gp)+L.N(Gn) = 3] : , 16924
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 1939
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 20220
count [L.N(Gp)+L.N(Gn) = 5] : , 70
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 3
0.0669078
count [L.N(Gp)+L.N(Gn) = 2] : , 1073
count [L.N(Gp)+L.N(Gn) = 3] : , 14964
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 2172
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 22647
count [L.N(Gp)+L.N(Gn) = 5] : , 144
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 4
0.0580632
count [L.N(Gp)+L.N(Gn) = 2] : , 858
count [L.N(Gp)+L.N(Gn) = 3] : , 13919
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 2196
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 23874
count [L.N(Gp)+L.N(Gn) = 5] : , 153
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 5
0.0518009
count [L.N(Gp)+L.N(Gn) = 2] : , 745
count [L.N(Gp)+L.N(Gn) = 3] : , 13637
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 1937
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 24538
count [L.N(Gp)+L.N(Gn) = 5] : , 143
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 6
0.0487434
count [L.N(Gp)+L.N(Gn) = 2] : , 673
count [L.N(Gp)+L.N(Gn) = 3] : , 13134
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 2077
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 24985
count [L.N(Gp)+L.N(Gn) = 5] : , 131
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 7
0.0463122
count [L.N(Gp)+L.N(Gn) = 2] : , 621
count [L.N(Gp)+L.N(Gn) = 3] : , 12788
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 2105
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 25305
count [L.N(Gp)+L.N(Gn) = 5] : , 181
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 8
0.0433062
count [L.N(Gp)+L.N(Gn) = 2] : , 580
count [L.N(Gp)+L.N(Gn) = 3] : , 12813
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 1970
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 25512
count [L.N(Gp)+L.N(Gn) = 5] : , 125
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 9
0.0418626
count [L.N(Gp)+L.N(Gn) = 2] : , 552
count [L.N(Gp)+L.N(Gn) = 3] : , 12634
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 1968
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 25711
count [L.N(Gp)+L.N(Gn) = 5] : , 135
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 10
0.0399661
count [L.N(Gp)+L.N(Gn) = 2] : , 518
count [L.N(Gp)+L.N(Gn) = 3] : , 12443
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 2020
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 25891
count [L.N(Gp)+L.N(Gn) = 5] : , 128
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 11
0.0390613
count [L.N(Gp)+L.N(Gn) = 2] : , 496
count [L.N(Gp)+L.N(Gn) = 3] : , 12202
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 2183
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 25943
count [L.N(Gp)+L.N(Gn) = 5] : , 176
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 12
0.0379826
count [L.N(Gp)+L.N(Gn) = 2] : , 485
count [L.N(Gp)+L.N(Gn) = 3] : , 12284
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 2019
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 26069
count [L.N(Gp)+L.N(Gn) = 5] : , 143
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 13
0.0366648
count [L.N(Gp)+L.N(Gn) = 2] : , 467
count [L.N(Gp)+L.N(Gn) = 3] : , 12270
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 1964
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 26149
count [L.N(Gp)+L.N(Gn) = 5] : , 150
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 14
0.0364328
count [L.N(Gp)+L.N(Gn) = 2] : , 460
count [L.N(Gp)+L.N(Gn) = 3] : , 12166
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 2032
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 26191
count [L.N(Gp)+L.N(Gn) = 5] : , 151
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 15
0.0357681
count [L.N(Gp)+L.N(Gn) = 2] : , 451
count [L.N(Gp)+L.N(Gn) = 3] : , 12158
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 1916
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 26322
count [L.N(Gp)+L.N(Gn) = 5] : , 153
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 16
0.0352556
count [L.N(Gp)+L.N(Gn) = 2] : , 442
count [L.N(Gp)+L.N(Gn) = 3] : , 12095
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 1907
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 26419
count [L.N(Gp)+L.N(Gn) = 5] : , 137
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 17
0.034589
count [L.N(Gp)+L.N(Gn) = 2] : , 438
count [L.N(Gp)+L.N(Gn) = 3] : , 12225
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 1751
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 26476
count [L.N(Gp)+L.N(Gn) = 5] : , 110
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 18
0.034202
count [L.N(Gp)+L.N(Gn) = 2] : , 420
count [L.N(Gp)+L.N(Gn) = 3] : , 11860
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 1997
